average price,total_guests,total_nights,room type,type of meal,market segment type,month,year,booking status
88.0,2,7,Room_Type 1,Meal Plan 1,Offline,10.0,2015.0,Not_Canceled
106.68,1,4,Room_Type 1,Not Selected,Online,11.0,2018.0,Not_Canceled
50.0,3,4,Room_Type 1,Meal Plan 1,Online,2.0,2018.0,Canceled
100.0,1,2,Room_Type 1,Meal Plan 1,Online,5.0,2017.0,Canceled
77.0,1,3,Room_Type 1,Not Selected,Online,4.0,2018.0,Canceled
100.0,1,2,Room_Type 1,Meal Plan 2,Offline,9.0,2016.0,Canceled
107.55,2,5,Room_Type 1,Meal Plan 1,Online,10.0,2017.0,Not_Canceled
105.61,3,4,Room_Type 4,Meal Plan 1,Online,12.0,2018.0,Not_Canceled
96.9,2,4,Room_Type 1,Meal Plan 1,Offline,7.0,2018.0,Not_Canceled
133.44,2,5,Room_Type 4,Meal Plan 1,Online,10.0,2018.0,Not_Canceled
85.03,1,1,Room_Type 1,Not Selected,Online,9.0,2018.0,Not_Canceled
140.4,1,3,Room_Type 4,Meal Plan 1,Online,4.0,2018.0,Not_Canceled
88.0,2,3,Room_Type 1,Not Selected,Online,11.0,2018.0,Canceled
90.0,1,2,Room_Type 1,Meal Plan 1,Online,11.0,2018.0,Canceled
94.5,2,2,Room_Type 1,Meal Plan 1,Online,10.0,2017.0,Not_Canceled
115.0,2,2,Room_Type 1,Meal Plan 2,Online,6.0,2018.0,Canceled
96.0,1,1,Room_Type 1,Meal Plan 1,Offline,10.0,2017.0,Not_Canceled
96.0,2,4,Room_Type 1,Not Selected,Online,8.0,2017.0,Not_Canceled
65.0,2,4,Room_Type 1,Meal Plan 1,Online,10.0,2017.0,Canceled
72.0,2,1,Room_Type 1,Meal Plan 1,Offline,10.0,2017.0,Not_Canceled
65.0,2,4,Room_Type 1,Meal Plan 1,Online,10.0,2017.0,Canceled
67.0,1,1,Room_Type 1,Meal Plan 1,Corporate,11.0,2018.0,Not_Canceled
85.0,2,6,Room_Type 1,Meal Plan 1,Offline,3.0,2018.0,Not_Canceled
105.0,2,3,Room_Type 1,Meal Plan 1,Offline,10.0,2018.0,Not_Canceled
94.5,2,3,Room_Type 1,Not Selected,Online,5.0,2018.0,Not_Canceled
114.3,2,2,Room_Type 1,Meal Plan 1,Online,4.0,2018.0,Not_Canceled
65.0,2,2,Room_Type 1,Meal Plan 1,Offline,9.0,2017.0,Not_Canceled
110.0,1,2,Room_Type 4,Meal Plan 1,Aviation,5.0,2018.0,Canceled
37.33,1,3,Room_Type 1,Meal Plan 1,Online,11.0,2017.0,Canceled
82.0,2,2,Room_Type 1,Meal Plan 2,Offline,9.0,2017.0,Not_Canceled
177.5,2,2,Room_Type 4,Meal Plan 1,Online,9.0,2017.0,Not_Canceled
87.5,2,4,Room_Type 1,Meal Plan 1,Online,11.0,2018.0,Not_Canceled
82.44,2,3,Room_Type 2,Meal Plan 1,Online,12.0,2018.0,Not_Canceled
69.5,2,1,Room_Type 1,Not Selected,Online,1.0,2018.0,Not_Canceled
85.5,2,2,Room_Type 1,Meal Plan 1,Offline,10.0,2018.0,Not_Canceled
115.0,2,1,Room_Type 1,Not Selected,Online,4.0,2018.0,Not_Canceled
81.0,1,3,Room_Type 1,Meal Plan 1,Online,6.0,2018.0,Canceled
67.0,2,1,Room_Type 1,Meal Plan 1,Offline,10.0,2017.0,Not_Canceled
63.75,2,5,Room_Type 1,Not Selected,Online,11.0,2018.0,Canceled
121.8,2,3,Room_Type 4,Meal Plan 1,Online,7.0,2018.0,Canceled
93.6,2,4,Room_Type 1,Meal Plan 1,Online,11.0,2018.0,Not_Canceled
102.0,2,2,Room_Type 1,Meal Plan 1,Online,6.0,2018.0,Not_Canceled
121.8,3,3,Room_Type 1,Meal Plan 1,Online,4.0,2018.0,Not_Canceled
98.1,2,2,Room_Type 1,Not Selected,Online,6.0,2018.0,Canceled
60.0,2,4,Room_Type 4,Meal Plan 1,Offline,11.0,2017.0,Not_Canceled
75.0,2,3,Room_Type 1,Meal Plan 1,Offline,12.0,2017.0,Not_Canceled
73.0,1,2,Room_Type 1,Meal Plan 1,Offline,11.0,2017.0,Not_Canceled
104.0,2,1,Room_Type 1,Meal Plan 2,Offline,4.0,2018.0,Not_Canceled
79.2,2,4,Room_Type 1,Not Selected,Online,11.0,2018.0,Not_Canceled
125.8,1,4,Room_Type 4,Meal Plan 1,Online,12.0,2018.0,Not_Canceled
87.95,1,7,Room_Type 1,Not Selected,Online,5.0,2018.0,Not_Canceled
106.0,2,4,Room_Type 1,Meal Plan 2,Online,4.0,2018.0,Canceled
136.67,1,3,Room_Type 1,Meal Plan 1,Online,5.0,2018.0,Not_Canceled
60.0,2,4,Room_Type 4,Meal Plan 1,Offline,11.0,2017.0,Not_Canceled
89.0,2,1,Room_Type 1,Not Selected,Online,6.0,2018.0,Not_Canceled
136.0,2,4,Room_Type 1,Meal Plan 1,Online,5.0,2018.0,Not_Canceled
94.5,2,1,Room_Type 1,Not Selected,Online,7.0,2018.0,Not_Canceled
93.6,2,3,Room_Type 1,Meal Plan 1,Online,12.0,2018.0,Not_Canceled
120.6,2,5,Room_Type 4,Meal Plan 1,Online,4.0,2018.0,Canceled
99.3,2,3,Room_Type 4,Meal Plan 1,Online,4.0,2018.0,Not_Canceled
258.0,4,1,Room_Type 6,Meal Plan 1,Online,9.0,2018.0,Not_Canceled
120.12,1,3,Room_Type 4,Meal Plan 1,Online,5.0,2018.0,Not_Canceled
95.0,1,2,Room_Type 1,Meal Plan 1,Offline,6.0,2018.0,Not_Canceled
0.0,1,1,Room_Type 1,Meal Plan 1,Complementary,9.0,2017.0,Not_Canceled
75.0,2,3,Room_Type 1,Meal Plan 1,Offline,12.0,2018.0,Not_Canceled
157.5,2,3,Room_Type 4,Meal Plan 1,Online,10.0,2018.0,Not_Canceled
97.7,2,2,Room_Type 4,Meal Plan 1,Online,6.0,2018.0,Not_Canceled
142.0,2,2,Room_Type 4,Meal Plan 1,Online,4.0,2018.0,Canceled
80.0,2,1,Room_Type 1,Meal Plan 1,Offline,4.0,2018.0,Not_Canceled
85.5,2,3,Room_Type 1,Meal Plan 1,Online,4.0,2018.0,Not_Canceled
100.0,2,3,Room_Type 1,Meal Plan 1,Offline,8.0,2018.0,Not_Canceled
88.0,2,1,Room_Type 1,Not Selected,Online,11.0,2018.0,Not_Canceled
122.85,2,2,Room_Type 1,Meal Plan 1,Online,8.0,2018.0,Not_Canceled
100.0,2,2,Room_Type 1,Meal Plan 1,Online,6.0,2018.0,Canceled
75.0,2,5,Room_Type 4,Meal Plan 1,Offline,10.0,2017.0,Not_Canceled
116.8,2,5,Room_Type 4,Meal Plan 1,Online,3.0,2018.0,Not_Canceled
